age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
102,1,-1.5542,15.8855,0.09778,11.558,12.475,13.392,14.503,15.886,17.663,20.056,23.5,26.945,30.257,34.876,39.495,44.114
103,1,-1.5681,15.9116,0.09821,11.57,12.489,13.408,14.523,15.912,17.702,20.123,23.627,27.131,30.472,35.158,39.844,44.53
104,1,-1.5817,15.9381,0.09864,11.583,12.503,13.424,14.542,15.938,17.742,20.19,23.755,27.32,30.687,35.44,40.193,44.946
105,1,-1.5948,15.9651,0.09907,11.595,12.518,13.44,14.562,15.965,17.783,20.258,23.885,27.511,30.907,35.729,40.551,45.373
106,1,-1.6076,15.9925,0.09951,11.608,12.532,13.456,14.582,15.992,17.824,20.327,24.018,27.708,31.126,36.016,40.906,45.796
107,1,-1.6199,16.0205,0.09994,11.621,12.547,13.473,14.603,16.02,17.866,20.397,24.151,27.905,31.347,36.306,41.265,46.224
108,1,-1.6318,16.049,0.10038,11.634,12.562,13.491,14.624,16.049,17.908,20.468,24.288,28.107,31.565,36.591,41.617,46.643
109,1,-1.6433,16.0781,0.10082,11.647,12.578,13.508,14.646,16.078,17.952,20.54,24.426,28.312,31.785,36.878,41.971,47.064
110,1,-1.6544,16.1078,0.10126,11.661,12.594,13.526,14.668,16.108,17.996,20.613,24.567,28.52,32.006,37.167,42.328,47.489
111,1,-1.6651,16.1381,0.1017,11.675,12.61,13.545,14.691,16.138,18.04,20.687,24.709,28.731,32.226,37.454,42.682,47.91
112,1,-1.6753,16.1692,0.10214,11.689,12.626,13.564,14.714,16.169,18.086,20.763,24.854,28.945,32.447,37.742,43.037,48.332
113,1,-1.6851,16.2009,0.10259,11.703,12.643,13.583,14.738,16.201,18.132,20.839,25.001,29.163,32.666,38.027,43.388,48.749
114,1,-1.6944,16.2333,0.10303,11.718,12.661,13.603,14.763,16.233,18.179,20.916,25.149,29.382,32.887,38.315,43.743,49.171
115,1,-1.7032,16.2665,0.10347,11.733,12.679,13.624,14.788,16.266,18.227,20.994,25.299,29.604,33.104,38.596,44.088,49.58
116,1,-1.7116,16.3004,0.10391,11.749,12.697,13.645,14.814,16.3,18.276,21.074,25.451,29.828,33.322,38.879,44.436,49.993
