age_months,sex,P50,P75,P85,P90,P95,pct120ofP95,pct130ofP95,pct140ofP95,pct150ofP95,pct160ofP95,pct170ofP95,pct180ofP95,pct190ofP95,pct200ofP95
44.5,1,15.7343,16.5418,17.0199,17.3639,17.9074,21.488892,23.27962,25.070359999999997,26.8611,28.65184,30.442579999999996,32.23332,34.02406,35.8148
45.5,1,15.7061,16.5136,16.9927,17.338,17.8841,21.460862,23.24933,25.03774,26.82615,28.61456,30.40297,32.19138,33.97979,35.7682
46.5,1,15.679,16.4873,16.9679,17.3148,17.8644,21.437328,23.22372,25.01016,26.796599999999998,28.58304,30.36948,32.15592,33.94236,35.7288
47.5,1,15.6531,16.4626,16.9453,17.2943,17.8485,21.418195,23.20305,24.9879,26.772750000000002,28.557600000000004,30.342450000000003,32.127300000000005,33.912150000000004,35.697
48.5,1,15.6282,16.4397,16.925,17.2766,17.8361,21.403371,23.18693,24.970539999999996,26.754149999999996,28.53776,30.321369999999995,32.10498,33.88858999999999,35.6722
49.5,1,15.6044,16.4185,16.9069,17.2615,17.8273,21.392759,23.175490000000003,24.95822,26.74095,28.523680000000002,30.30641,32.08914,33.87187,35.6546
50.5,1,15.5818,16.3989,16.8909,17.249,17.8219,21.386264,23.16847,24.95066,26.73285,28.51504,30.29723,32.07942,33.86161,35.6438
51.5,1,15.5603,16.381,16.877,17.239,17.8198,21.38379,23.165740000000003,24.94772,26.7297,28.511680000000002,30.29366,32.07564,33.85762,35.6396
52.5,1,15.5399,16.3647,16.8652,17.2315,17.821,21.385243,23.167300000000004,24.9494,26.731500000000004,28.513600000000004,30.2957,32.0778,33.8599,35.642
53.5,1,15.5206,16.35,16.8554,17.2263,17.8254,21.390523,23.173019999999998,24.955559999999995,26.738099999999996,28.52064,30.303179999999998,32.085719999999995,33.86825999999999,35.6508
54.5,1,15.5026,16.3369,16.8476,17.2235,17.8329,21.399537,23.182769999999998,24.966059999999995,26.74935,28.53264,30.315929999999998,32.099219999999995,33.882509999999996,35.6658
