,sex,age_months,SD0,SD0.5,SD1,SD1.5,SD2,SD2.5,SD3,SD3.5,SD4,SD4.5,SD5
103,1,126.5,16.9151,18.0979,19.6554,21.8555,26.3024,30.1267,33.3889,36.3823,39.2215,41.9626,44.6369
104,1,127.5,16.9616,18.153,19.7218,21.9379,26.4111,30.2569,33.5374,36.5477,39.4029,42.1594,44.8488
105,1,128.5,17.0086,18.2084,19.7885,22.0202,26.5195,30.3867,33.6855,36.7126,39.5837,42.3556,45.06
106,1,129.5,17.056,18.2642,19.8553,22.1025,26.6275,30.5161,33.8331,36.8769,39.7638,42.551,45.2703
107,1,130.5,17.1039,18.3204,19.9224,22.1846,26.7352,30.6451,33.9802,37.0406,39.9433,42.7457,45.4798
108,1,131.5,17.1522,18.3769,19.9897,22.2666,26.8426,30.7735,34.1267,37.2036,40.122,42.9395,45.6885
109,1,132.5,17.2009,18.4337,20.0571,22.3485,26.9495,30.9015,34.2726,37.366,40.3,43.1326,45.8963
110,1,133.5,17.25,18.4908,20.1246,22.4302,27.0561,31.029,34.418,37.5278,40.4773,43.3249,46.1032
111,1,134.5,17.2995,18.5483,20.1924,22.5117,27.1622,31.156,34.5627,37.6888,40.6538,43.5164,46.3092
112,1,135.5,17.3494,18.606,20.2602,22.593,27.2679,31.2824,34.7069,37.8492,40.8296,43.707,46.5144
113,1,136.5,17.3997,18.664,20.3282,22.6742,27.3732,31.4083,34.8503,38.0088,41.0045,43.8967,46.7185
114,1,137.5,17.4504,18.7224,20.3963,22.7551,27.478,31.5336,34.9932,38.1677,41.1787,44.0856,46.9218
115,1,138.5,17.5014,18.7809,20.4644,22.8358,27.5822,31.6584,35.1353,38.3259,41.352,44.2736,47.124
116,1,139.5,17.5528,18.8397,20.5327,22.9162,27.686,31.7825,35.2768,38.4833,41.5245,44.4607,47.3253
117,1,140.5,17.6045,18.8988,20.601,22.9964,27.7893,31.906,35.4176,38.6399,41.6962,44.6468,47.5256
118,1,141.5,17.6565,18.9581,20.6694,23.0762,27.8921,32.0289,35.5577,38.7957,41.8669,44.832,47.7249
119,1,142.5,17.7089,19.0176,20.7378,23.1558,27.9943,32.1512,35.697,38.9507,42.0368,45.0163,47.9232
120,1,143.5,17.7616,19.0774,20.8063,23.2351,28.096,32.2728,35.8356,39.105,42.2058,45.1996,48.1204
121,1,144.5,17.8146,19.1373,20.8748,23.3141,28.1971,32.3937,35.9735,39.2583,42.374,45.3819,48.3166
122,1,145.5,17.8679,19.1975,20.9433,23.3928,28.2976,32.514,36.1106,39.4109,42.5412,45.5633,48.5118
123,1,146.5,17.9216,19.2578,21.0118,23.4711,28.3975,32.6335,36.2469,39.5626,42.7074,45.7436,48.7059
124,1,147.5,17.9754,19.3183,21.0803,23.549,28.4969,32.7524,36.3824,39.7134,42.8728,45.923,48.8989
125,1,148.5,18.0296,19.379,21.1487,23.6267,28.5956,32.8706,36.5172,39.8634,43.0372,46.1013,49.0908
126,1,149.5,18.084,19.4398,21.2172,23.7039,28.6937,32.9881,36.6512,40.0125,43.2006,46.2786,49.2817
127,1,150.5,18.1387,19.5008,21.2856,23.7808,28.7913,33.1048,36.7843,40.1607,43.3631,46.4549,49.4714
128,1,151.5,18.1937,19.5619,21.354,23.8573,28.8881,33.2208,36.9167,40.3081,43.5247,46.6302,49.66
129,1,152.5,18.2488,19.6231,21.4223,23.9334,28.9844,33.3361,37.0482,40.4545,43.6852,46.8044,49.8476
130,1,153.5,18.3043,19.6845,21.4906,24.0091,29.08,33.4507,37.1789,40.6,43.8448,46.9775,50.034
131,1,154.5,18.3599,19.746,21.5588,24.0844,29.175,33.5645,37.3088,40.7446,44.0034,47.1496,50.2192
132,1,155.5,18.4157,19.8076,21.6269,24.1593,29.2693,33.6776,37.4378,40.8883,44.1611,47.3207,50.4034
133,1,156.5,18.4718,19.8693,21.695,24.2338,29.363,33.7899,37.566,41.0311,44.3177,47.4907,50.5864
134,1,157.5,18.5281,19.9311,21.7629,24.3079,29.456,33.9014,37.6934,41.173,44.4733,47.6596,50.7683
135,1,158.5,18.5845,19.9929,21.8308,24.3815,29.5483,34.0122,37.8199,41.314,44.628,47.8275,50.9491
136,1,159.5,18.6411,20.0549,21.8985,24.4548,29.64,34.1222,37.9456,41.454,44.7816,47.9943,51.1287
137,1,160.5,18.6979,20.1169,21.9662,24.5276,29.7311,34.2315,38.0704,41.5931,44.9343,48.16,51.3072
138,1,161.5,18.7549,20.1789,22.0337,24.5999,29.8214,34.34,38.1944,41.7313,45.0859,48.3246,51.4845
139,1,162.5,18.812,20.2411,22.1011,24.6719,29.9112,34.4478,38.3175,41.8685,45.2366,48.4882,51.6607
140,1,163.5,18.8693,20.3032,22.1684,24.7434,30.0002,34.5548,38.4398,42.0049,45.3862,48.6507,51.8357
141,1,164.5,18.9267,20.3654,22.2356,24.8144,30.0886,34.661,38.5613,42.1403,45.5349,48.8121,52.0096
142,1,165.5,18.9842,20.4277,22.3026,24.8851,30.1763,34.7664,38.6819,42.2748,45.6825,48.9725,52.1824
143,1,166.5,19.0419,20.4899,22.3694,24.9553,30.2634,34.8712,38.8016,42.4083,45.8292,49.1318,52.354
144,1,167.5,19.0997,20.5522,22.4362,25.025,30.3498,34.9751,38.9205,42.541,45.9748,49.29,52.5245
145,1,168.5,19.1576,20.6145,22.5027,25.0943,30.4356,35.0783,39.0386,42.6727,46.1195,49.4472,52.6939
146,1,169.5,19.2156,20.6768,22.5691,25.1632,30.5207,35.1808,39.1559,42.8035,46.2632,49.6033,52.8622
147,1,170.5,19.2737,20.7391,22.6354,25.2317,30.6052,35.2825,39.2723,42.9334,46.4059,49.7584,53.0293
148,1,171.5,19.3318,20.8014,22.7015,25.2997,30.689,35.3835,39.3879,43.0624,46.5477,49.9124,53.1953
149,1,172.5,19.3901,20.8636,22.7674,25.3673,30.7722,35.4837,39.5027,43.1906,46.6884,50.0654,53.3602
150,1,173.5,19.4484,20.9258,22.8331,25.4344,30.8548,35.5833,39.6167,43.3178,46.8283,50.2174,53.524
151,1,174.5,19.5067,20.9881,22.8987,25.5012,30.9368,35.6821,39.7298,43.4442,46.9671,50.3683,53.6867
152,1,175.5,19.5651,21.0502,22.9641,25.5675,31.0182,35.7802,39.8422,43.5697,47.105,50.5183,53.8484
153,1,176.5,19.6236,21.1124,23.0293,25.6334,31.0989,35.8776,39.9539,43.6943,47.242,50.6672,54.0089
154,1,177.5,19.6821,21.1744,23.0944,25.699,31.1791,35.9743,40.0647,43.8181,47.3781,50.8151,54.1684
155,1,178.5,19.7406,21.2365,23.1592,25.7641,31.2587,36.0704,40.1748,43.941,47.5133,50.962,54.3268
156,1,179.5,19.7991,21.2984,23.2239,25.8288,31.3378,36.1658,40.2841,44.0632,47.6475,51.108,54.4842
157,1,180.5,19.8577,21.3603,23.2884,25.8932,31.4163,36.2605,40.3927,44.1845,47.7809,51.253,54.6406
158,1,181.5,19.9162,21.4221,23.3527,25.9571,31.4942,36.3546,40.5006,44.305,47.9133,51.397,54.7959
159,1,182.5,19.9747,21.4839,23.4168,26.0208,31.5717,36.4481,40.6077,44.4247,48.045,51.5402,54.9502
160,1,183.5,20.0332,21.5456,23.4807,26.084,31.6486,36.5409,40.7142,44.5436,48.1757,51.6823,55.1036
161,1,184.5,20.0917,21.6071,23.5444,26.1469,31.725,36.6332,40.8199,44.6618,48.3056,51.8236,55.2559
162,1,185.5,20.1502,21.6686,23.6079,26.2095,31.8009,36.7248,40.925,44.7792,48.4348,51.964,55.4073
163,1,186.5,20.2086,21.73,23.6713,26.2717,31.8764,36.8159,41.0294,44.8959,48.563,52.1035,55.5578
164,1,187.5,20.2669,21.7913,23.7344,26.3336,31.9514,36.9065,41.1333,45.0118,48.6905,52.2422,55.7073
165,1,188.5,20.3252,21.8524,23.7974,26.3953,32.0259,36.9965,41.2364,45.1271,48.8173,52.38,55.8559
166,1,189.5,20.3835,21.9135,23.8602,26.4566,32.1001,37.086,41.339,45.2417,48.9433,52.5169,56.0036
167,1,190.5,20.4416,21.9744,23.9227,26.5176,32.1738,37.175,41.441,45.3556,49.0685,52.6531,56.1504
168,1,191.5,20.4997,22.0352,23.9851,26.5784,32.2472,37.2635,41.5424,45.4689,49.193,52.7885,56.2964
169,1,192.5,20.5576,22.0958,24.0473,26.639,32.3202,37.3515,41.6433,45.5815,49.3168,52.9231,56.4415
170,1,193.5,20.6155,22.1564,24.1093,26.6992,32.3929,37.4391,41.7437,45.6936,49.44,53.0569,56.5858
171,1,194.5,20.6733,22.2167,24.1712,26.7593,32.4652,37.5263,41.8435,45.805,49.5625,53.19,56.7293
172,1,195.5,20.7309,22.2769,24.2328,26.8192,32.5373,37.6131,41.9429,45.916,49.6843,53.3225,56.872
173,1,196.5,20.7884,22.337,24.2943,26.8789,32.609,37.6995,42.0418,46.0263,49.8056,53.4542,57.014
174,1,197.5,20.8457,22.3969,24.3556,26.9384,32.6806,37.7856,42.1403,46.1362,49.9262,53.5853,57.1552
175,1,198.5,20.9029,22.4567,24.4167,26.9977,32.7519,37.8713,42.2383,46.2455,50.0463,53.7157,57.2958
176,1,199.5,20.96,22.5162,24.4776,27.0569,32.823,37.9568,42.336,46.3544,50.1658,53.8455,57.4356
177,1,200.5,21.0169,22.5756,24.5384,27.116,32.8939,38.0419,42.4333,46.4629,50.2849,53.9748,57.5748
178,1,201.5,21.0736,22.6348,24.599,27.175,32.9646,38.1269,42.5303,46.5709,50.4034,54.1035,57.7134
179,1,202.5,21.1301,22.6939,24.6594,27.2339,33.0353,38.2115,42.6269,46.6786,50.5215,54.2316,57.8514
180,1,203.5,21.1864,22.7527,24.7197,27.2928,33.1058,38.296,42.7233,46.7859,50.6392,54.3593,57.9888
181,1,204.5,21.2425,22.8113,24.7798,27.3516,33.1763,38.3803,42.8194,46.8929,50.7564,54.4864,58.1256
182,1,205.5,21.2984,22.8698,24.8398,27.4104,33.2467,38.4645,42.9154,46.9995,50.8733,54.6131,58.262
183,1,206.5,21.354,22.928,24.8997,27.4692,33.3172,38.5486,43.0111,47.1059,50.9898,54.7394,58.3978
184,1,207.5,21.4094,22.986,24.9593,27.5281,33.3876,38.6326,43.1066,47.2121,51.106,54.8653,58.5332
185,1,208.5,21.4646,23.0438,25.0189,27.587,33.4581,38.7165,43.202,47.318,51.2219,54.9909,58.6681
186,1,209.5,21.5195,23.1014,25.0783,27.6459,33.5287,38.8005,43.2973,47.4237,51.3375,55.1161,58.8027
187,1,210.5,21.5742,23.1588,25.1376,27.705,33.5994,38.8844,43.3926,47.5293,51.453,55.241,58.9369
188,1,211.5,21.6285,23.2159,25.1968,27.7642,33.6702,38.9684,43.4878,47.6348,51.5682,55.3657,59.0707
189,1,212.5,21.6826,23.2728,25.2559,27.8235,33.7412,39.0524,43.5829,47.7402,51.6833,55.4901,59.2043
190,1,213.5,21.7364,23.3295,25.3148,27.883,33.8125,39.1366,43.6782,47.8456,51.7983,55.6144,59.3376
191,1,214.5,21.7899,23.3859,25.3737,27.9427,33.884,39.221,43.7735,47.9509,51.9132,55.7385,59.4706
192,1,215.5,21.843,23.4421,25.4324,28.0027,33.9557,39.3055,43.8688,48.0563,52.028,55.8624,59.6035
193,1,216.5,21.8959,23.498,25.4911,28.0629,34.0278,39.3902,43.9644,48.1617,52.1428,55.9863,59.7362
194,1,217.5,21.9484,23.5537,25.5497,28.1234,34.1003,39.4752,44.0601,48.2672,52.2576,56.1101,59.8688
195,1,218.5,22.0005,23.6091,25.6083,28.1842,34.1731,39.5605,44.156,48.3729,52.3725,56.2339,60.0013
196,1,219.5,22.0523,23.6643,25.6667,28.2453,34.2464,39.6461,44.2521,48.4787,52.4875,56.3578,60.1338
197,1,220.5,22.1037,23.7191,25.7252,28.3069,34.3202,39.7321,44.3486,48.5847,52.6026,56.4817,60.2663
198,1,221.5,22.1548,23.7738,25.7835,28.3688,34.3944,39.8185,44.4454,48.691,52.7179,56.6057,60.3988
199,1,222.5,22.2054,23.8281,25.8419,28.4311,34.4693,39.9054,44.5425,48.7976,52.8334,56.7298,60.5313
200,1,223.5,22.2557,23.8822,25.9002,28.494,34.5447,39.9928,44.64,48.9045,52.9492,56.8542,60.664
201,1,224.5,22.3055,23.936,25.9585,28.5573,34.6207,40.0807,44.738,49.0117,53.0653,56.9787,60.7968
202,1,225.5,22.355,23.9896,26.0168,28.6212,34.6974,40.1691,44.8365,49.1194,53.1817,57.1035,60.9299
203,1,226.5,22.404,24.0428,26.0751,28.6856,34.7749,40.2582,44.9355,49.2276,53.2984,57.2286,61.0631
204,1,227.5,22.4526,24.0958,26.1335,28.7506,34.853,40.3479,45.0351,49.3362,53.4156,57.3541,61.1967
205,1,228.5,22.5007,24.1485,26.1918,28.8162,34.932,40.4384,45.1353,49.4453,53.5333,57.48,61.3306
206,1,229.5,22.5484,24.2009,26.2502,28.8826,35.0119,40.5296,45.2362,49.5551,53.6514,57.6063,61.4648
207,1,230.5,22.5957,24.253,26.3087,28.9496,35.0926,40.6215,45.3377,49.6654,53.7702,57.733,61.5994
208,1,231.5,22.6424,24.3049,26.3672,29.0173,35.1743,40.7143,45.4401,49.7765,53.8895,57.8604,61.7345
209,1,232.5,22.6887,24.3565,26.4258,29.0858,35.2569,40.808,45.5432,49.8882,54.0094,57.9882,61.8701
210,1,233.5,22.7346,24.4077,26.4845,29.1551,35.3406,40.9026,45.6471,50.0008,54.1301,58.1167,62.0063
211,1,234.5,22.7799,24.4588,26.5433,29.2253,35.4253,40.9982,45.7519,50.1141,54.2515,58.2459,62.143
212,1,235.5,22.8247,24.5095,26.6023,29.2964,35.5112,41.0948,45.8577,50.2283,54.3736,58.3757,62.2804
213,1,236.5,22.8691,24.5599,26.6613,29.3683,35.5982,41.1925,45.9645,50.3433,54.4966,58.5063,62.4185
214,1,237.5,22.9129,24.6101,26.7205,29.4412,35.6864,41.2913,46.0722,50.4594,54.6205,58.6378,62.5572
